Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jaylen Hoard,SF,22,OKC,1,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Holiday,PG,25,WAS,36,10,15.8,2.4,5.2,0.6,1.6,1.9,3.6,0.6,0.7,0.2,1.4,1.6,1.9,0.5,0.2,0.9,1.5,6.1
Jrue Holiday,PG,31,MIL,36,33,32.6,7.3,14.8,1.8,4.6,5.5,10.1,1.8,2.5,0.9,3.7,4.6,6.4,1.5,0.6,2.7,1.8,18.2
Justin Holiday,SF,32,IND,41,32,28.7,3.8,9.3,2.6,7.0,1.2,2.3,0.7,0.9,0.3,2.5,2.8,1.7,0.7,0.4,1.0,2.2,11.0
Richaun Holmes,C,28,SAC,30,30,25.8,5.3,7.5,0.1,0.1,5.2,7.3,1.8,2.2,2.3,5.8,8.2,1.2,0.4,1.1,1.4,3.0,12.4
Rodney Hood,SF,29,MIL,35,0,15.7,1.3,3.5,0.7,2.2,0.6,1.3,0.4,0.4,0.3,1.5,1.9,0.8,0.3,0.1,0.2,0.7,3.6
Scotty Hopson,SG,32,OKC,1,0,18.0,2.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
Al Horford,C,35,BOS,39,39,29.1,4.0,9.0,1.2,4.2,2.8,4.8,1.4,1.7,1.5,5.8,7.4,3.6,0.6,1.3,1.1,2.2,10.6
Talen Horton-Tucker,SG,21,LAL,31,15,26.9,4.0,9.6,0.8,3.2,3.2,6.5,1.6,2.1,0.6,2.8,3.5,2.7,0.9,0.5,1.5,2.7,10.5
Danuel House Jr.,SF,28,TOT,21,1,14.3,1.5,4.3,0.7,2.2,0.9,2.1,0.9,1.0,0.3,2.1,2.4,1.2,0.3,0.3,0.9,1.0,4.6
Danuel House Jr.,SF,28,HOU,16,1,14.6,1.6,4.6,0.6,2.1,0.9,2.5,1.1,1.2,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1.0,4.8
Danuel House Jr.,SF,28,NYK,1,0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danuel House Jr.,SF,28,UTA,4,0,16.3,1.8,4.0,1.0,2.8,0.8,1.3,0.5,0.5,0.5,1.5,2.0,1.5,0.3,0.3,0.3,1.5,5.0
Dwight Howard,C,36,LAL,37,11,14.9,1.9,3.0,0.2,0.2,1.7,2.8,1.3,2.0,1.9,3.5,5.4,0.6,0.7,0.6,0.8,2.0,5.2
Markus Howard,SG,22,DEN,17,0,6.9,1.4,3.8,1.1,2.8,0.2,0.9,0.4,0.5,0.0,0.3,0.3,0.3,0.4,0.0,0.4,0.6,4.2
Kevin Huerter,SG,23,ATL,39,25,29.1,4.5,9.9,1.8,5.0,2.7,4.9,0.6,0.8,0.4,3.0,3.4,2.9,0.5,0.3,1.3,2.0,11.5
Jay Huff,C,23,LAL,4,0,5.0,0.0,0.8,0.0,0.5,0.0,0.3,0.0,0.0,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.3,0.0
Elijah Hughes,SF,23,UTA,10,1,6.2,1.0,1.9,0.7,1.4,0.3,0.5,0.3,0.3,0.0,0.9,0.9,0.4,0.2,0.0,0.4,0.4,3.0
De'Andre Hunter,SF,24,ATL,18,17,29.3,5.0,10.9,1.6,4.1,3.4,6.8,1.6,2.2,0.4,2.9,3.3,1.0,0.7,0.6,1.4,2.7,13.2
Chandler Hutchison,SF,25,PHO,6,0,3.7,0.2,0.3,0.0,0.0,0.2,0.3,0.3,0.3,0.0,0.8,0.8,0.3,0.0,0.0,0.7,0.2,0.7
Bones Hyland,PG,21,DEN,34,0,17.6,2.9,8.0,1.7,5.0,1.2,3.0,1.0,1.1,0.2,2.3,2.5,1.7,0.5,0.3,1.1,2.1,8.5
Serge Ibaka,C,32,LAC,29,8,15.4,2.6,5.5,0.8,2.0,1.8,3.5,0.5,0.8,1.2,3.0,4.2,1.1,0.2,0.7,1.0,1.7,6.4
Andre Iguodala,SF,38,GSW,25,0,20.5,1.6,4.0,0.5,2.4,1.0,1.6,0.5,0.6,0.8,2.6,3.4,3.9,0.8,0.8,0.9,1.0,4.2
Joe Ingles,SF,34,UTA,42,12,25.3,2.7,6.5,1.8,5.1,0.9,1.4,0.4,0.5,0.3,2.6,2.9,3.6,0.5,0.1,1.1,1.8,7.5
Brandon Ingram,SF,24,NOP,36,36,34.4,8.2,18.4,1.6,4.7,6.6,13.8,4.5,5.5,0.8,5.3,6.1,5.2,0.6,0.3,2.6,2.0,22.4
Kyrie Irving,PG,29,BRK,7,7,34.6,9.7,19.3,2.1,5.9,7.6,13.4,1.9,1.9,0.4,4.4,4.9,5.1,1.0,0.3,2.1,2.1,23.4
Wes Iwundu,SF,27,ATL,3,1,27.3,2.7,6.0,1.0,1.7,1.7,4.3,1.0,1.3,1.0,3.3,4.3,0.0,0.3,0.0,0.3,2.7,7.3
Frank Jackson,PG,23,DET,33,5,22.7,3.7,9.2,1.9,5.6,1.8,3.6,1.3,1.6,0.3,1.2,1.5,0.9,0.5,0.2,0.8,1.6,10.7
Isaiah Jackson,PF,20,IND,14,0,6.9,1.1,2.6,0.0,0.1,1.1,2.5,0.8,1.4,0.9,1.3,2.1,0.2,0.4,0.5,0.2,1.4,3.1
Jaren Jackson Jr.,PF,22,MEM,48,48,27.7,5.6,13.6,1.7,5.5,3.9,8.1,3.5,4.3,1.3,4.4,5.7,1.0,1.0,2.2,1.8,3.4,16.4
Josh Jackson,SF,24,DET,37,3,18.5,2.8,6.7,0.8,3.0,2.0,3.7,1.0,1.4,0.5,2.7,3.2,1.3,0.5,0.4,1.0,1.9,7.4
Justin Jackson,SF,26,TOT,4,0,6.3,1.3,2.0,0.8,1.3,0.5,0.8,0.5,0.5,0.3,1.3,1.5,0.0,0.0,0.0,0.3,0.5,3.8
Justin Jackson,SF,26,BOS,1,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Justin Jackson,SF,26,PHO,3,0,7.7,1.7,2.3,1.0,1.7,0.7,0.7,0.0,0.0,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.7,4.3
Reggie Jackson,SG,31,LAC,44,44,31.6,6.3,16.1,2.5,7.5,3.9,8.6,1.8,2.1,0.5,2.9,3.4,4.2,0.8,0.1,2.2,1.9,16.9
LeBron James,SF,37,LAL,35,35,36.7,10.8,20.9,2.8,7.9,8.0,13.0,4.5,6.0,1.1,6.6,7.7,6.3,1.6,1.1,3.2,2.3,29.0
DeJon Jarreau,SG,24,IND,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaQuan Jeffries,SG,24,MEM,3,0,3.0,0.3,0.7,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,0.7
Ty Jerome,SG,24,OKC,37,3,15.6,2.5,6.5,1.0,3.6,1.5,2.9,0.8,1.0,0.4,1.1,1.5,1.7,0.6,0.1,0.7,1.3,6.9
Isaiah Joe,SG,22,PHI,31,1,12.5,1.3,3.7,0.9,2.8,0.4,0.9,0.6,0.6,0.1,1.1,1.2,0.7,0.3,0.1,0.3,0.9,4.0
Alize Johnson,PF,25,TOT,19,0,7.3,0.7,1.5,0.0,0.2,0.7,1.3,0.2,0.4,1.1,1.4,2.5,0.4,0.2,0.0,0.6,0.8,1.7
Alize Johnson,PF,25,CHI,16,0,7.6,0.8,1.4,0.0,0.1,0.8,1.3,0.3,0.4,1.0,1.3,2.3,0.5,0.2,0.0,0.5,0.9,1.8
Alize Johnson,PF,25,WAS,3,0,6.0,0.7,2.0,0.0,0.7,0.7,1.3,0.0,0.3,1.7,2.3,4.0,0.0,0.0,0.0,1.0,0.0,1.3
B.J. Johnson,SF,26,ORL,4,0,16.3,2.8,6.3,1.0,2.5,1.8,3.8,0.0,0.0,1.5,2.3,3.8,0.0,0.0,0.3,0.0,1.0,6.5
Cameron Johnson,PF,25,PHO,42,6,25.4,4.0,8.8,2.4,5.7,1.5,3.1,1.3,1.5,0.6,3.6,4.2,1.3,0.8,0.2,0.6,1.7,11.6
David Johnson,SG,20,TOR,2,0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,PF,20,ATL,11,0,4.7,0.7,1.5,0.2,0.5,0.5,1.0,0.4,0.5,0.0,1.2,1.2,0.1,0.0,0.0,0.2,0.3,2.0
James Johnson,PF,34,BRK,31,2,17.2,2.0,4.2,0.3,1.0,1.7,3.2,0.2,0.5,0.9,2.5,3.4,1.7,0.4,0.4,0.6,2.1,4.5
Joe Johnson,SG,40,BOS,1,0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Keldon Johnson,SF,22,SAS,43,42,30.7,5.6,12.0,1.7,3.9,3.8,8.1,2.0,2.9,1.0,5.2,6.2,1.7,0.7,0.1,1.3,1.8,14.9
Keon Johnson,SG,19,LAC,15,0,9.0,1.1,3.4,0.2,0.7,0.9,2.7,1.1,1.4,0.4,1.0,1.4,0.9,0.5,0.1,0.5,1.4,3.5
Stanley Johnson,PF,25,LAL,13,5,20.6,2.3,4.4,0.8,2.4,1.5,2.0,1.2,1.5,0.5,2.2,2.7,1.3,0.8,0.4,0.5,3.1,6.6
Tyler Johnson,PG,29,TOT,6,0,15.2,1.0,3.3,0.8,2.2,0.2,1.2,0.0,0.0,0.5,1.5,2.0,1.2,0.5,0.5,0.3,1.2,2.8
Tyler Johnson,PG,29,PHI,3,0,12.7,1.3,3.3,1.0,2.3,0.3,1.0,0.0,0.0,0.3,1.7,2.0,0.7,0.3,0.3,0.3,1.3,3.7
Tyler Johnson,PG,29,SAS,3,0,17.7,0.7,3.3,0.7,2.0,0.0,1.3,0.0,0.0,0.7,1.3,2.0,1.7,0.7,0.7,0.3,1.0,2.0
Nikola Jokić,C,26,DEN,40,40,33.2,10.2,17.7,1.5,4.2,8.6,13.5,4.3,5.4,2.8,11.0,13.8,7.6,1.4,0.8,3.5,2.5,26.1
Carlik Jones,PG,24,TOT,5,0,4.6,0.2,1.8,0.0,0.2,0.2,1.6,0.4,0.4,0.2,0.4,0.6,1.0,0.2,0.0,0.6,0.0,0.8
Carlik Jones,PG,24,DAL,3,0,6.3,0.0,2.3,0.0,0.3,0.0,2.0,0.7,0.7,0.3,0.7,1.0,1.7,0.3,0.0,1.0,0.0,0.7
Carlik Jones,PG,24,DEN,2,0,2.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Damian Jones,C,26,SAC,28,4,14.5,2.1,3.7,0.1,0.4,2.0,3.3,1.2,1.8,1.6,2.6,4.2,1.0,0.2,0.4,1.0,2.0,5.6
Derrick Jones Jr.,PF,24,CHI,31,8,17.2,2.3,3.9,0.5,1.2,1.8,2.7,1.3,1.5,1.2,2.2,3.4,0.5,0.5,0.7,0.5,2.3,6.3
Herbert Jones,C,23,NOP,42,33,29.2,3.5,7.0,0.7,1.7,2.9,5.4,1.4,1.8,1.2,2.5,3.7,1.9,1.5,0.9,1.1,3.1,9.1
Jemerrio Jones,SF,26,LAL,2,0,7.5,1.0,1.5,0.0,0.0,1.0,1.5,0.0,0.0,1.0,0.5,1.5,0.0,0.5,0.0,0.0,1.0,2.0
Kai Jones,C,21,CHO,14,0,2.8,0.3,0.5,0.0,0.1,0.3,0.4,0.1,0.3,0.1,0.4,0.4,0.1,0.0,0.0,0.4,0.2,0.6
Mason Jones,SG,23,LAL,2,0,4.5,1.0,4.0,0.0,1.0,1.0,3.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,2.5
Tre Jones,PG,22,SAS,37,2,12.3,1.8,3.6,0.1,0.4,1.7,3.2,0.6,0.6,0.4,1.5,1.9,2.2,0.4,0.0,0.6,0.9,4.2
Tyus Jones,PG,25,MEM,45,13,21.1,3.2,6.8,1.0,2.5,2.2,4.3,0.8,0.8,0.3,2.4,2.7,4.2,0.9,0.0,0.8,0.4,8.2
DeAndre Jordan,C,33,LAL,29,18,13.0,2.0,3.0,0.0,0.0,2.0,3.0,0.3,0.6,1.6,4.0,5.5,0.4,0.3,0.9,0.7,1.7,4.3
Cory Joseph,PG,30,DET,35,9,23.5,2.8,6.1,1.0,2.3,1.8,3.7,1.8,2.1,0.4,1.9,2.3,4.0,0.7,0.2,1.4,1.8,8.4
Georgios Kalaitzakis,SF,23,MIL,9,0,5.3,0.6,1.2,0.2,0.4,0.3,0.8,0.4,1.0,0.4,0.4,0.9,0.0,0.1,0.1,0.4,0.9,1.8
Frank Kaminsky,C,28,PHO,9,0,20.1,4.0,7.3,0.6,1.7,3.4,5.7,2.0,2.2,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6
Luke Kennard,SG,25,LAC,38,10,28.7,4.0,9.4,2.7,6.4,1.3,3.0,0.9,1.0,0.2,3.2,3.3,2.0,0.7,0.1,0.8,1.6,11.6
Braxton Key,SF,24,PHI,2,0,3.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,1.0
George King,SF,28,DAL,4,0,4.8,0.0,1.3,0.0,1.0,0.0,0.3,0.3,0.5,0.0,1.3,1.3,0.0,0.0,0.0,0.3,1.0,0.3
Louis King,SF,22,SAC,5,0,11.0,1.8,5.2,1.0,3.2,0.8,2.0,1.2,1.4,0.0,1.6,1.6,0.2,0.4,0.0,0.0,1.6,5.8
Corey Kispert,SF,22,WAS,42,7,18.1,2.1,4.9,0.9,2.7,1.2,2.1,0.8,0.9,0.5,1.6,2.2,0.8,0.3,0.3,0.5,0.9,5.9
Maxi Kleber,PF,30,DAL,32,15,24.7,2.4,6.0,1.6,4.5,0.8,1.5,0.7,1.0,1.1,4.6,5.7,1.2,0.4,0.9,0.8,2.3,7.2
Brandon Knight,PG,30,DAL,3,0,18.0,3.0,6.7,1.3,4.3,1.7,2.3,2.7,2.7,0.0,2.3,2.3,2.7,0.3,0.0,1.3,1.7,10.0
Nathan Knight,PF,24,MIN,23,2,8.0,1.0,2.2,0.1,0.3,1.0,1.9,1.2,1.7,1.0,1.5,2.5,0.6,0.2,0.3,0.5,1.1,3.4
Kevin Knox,SF,22,TOT,16,0,8.8,1.2,3.1,0.7,2.2,0.5,0.9,0.4,0.6,0.5,1.1,1.6,0.3,0.2,0.1,0.4,0.4,3.5
Kevin Knox,SF,22,NYK,13,0,8.5,1.2,3.1,0.8,2.2,0.4,0.9,0.5,0.8,0.6,1.1,1.7,0.2,0.2,0.1,0.4,0.4,3.6
Kevin Knox,SF,22,ATL,3,0,10.0,1.3,3.3,0.3,2.3,1.0,1.0,0.0,0.0,0.0,1.3,1.3,0.3,0.3,0.0,0.3,0.7,3.0
John Konchar,SG,25,MEM,41,5,18.0,1.9,3.6,0.7,1.7,1.1,2.0,0.4,0.7,1.3,3.2,4.5,1.4,0.7,0.3,0.5,1.2,4.9
Furkan Korkmaz,SG,24,PHI,42,15,24.1,3.3,8.5,1.4,4.8,1.9,3.7,1.0,1.3,0.3,2.8,3.1,2.4,0.6,0.1,0.8,1.0,9.1
Luke Kornet,C,26,TOT,3,0,6.0,0.3,2.0,0.0,0.3,0.3,1.7,0.7,1.0,1.0,0.3,1.3,0.3,0.0,0.3,0.0,0.7,1.3
Luke Kornet,C,26,CLE,2,0,7.5,0.5,2.5,0.0,0.5,0.5,2.0,1.0,1.5,1.0,0.5,1.5,0.5,0.0,0.5,0.0,0.5,2.0
Luke Kornet,C,26,MIL,1,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Vit Krejci,SG,21,OKC,3,0,3.0,0.0,0.7,0.0,0.7,0.0,0.0,0.7,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.0,0.7
Arnoldas Kulboka,SF,24,CHO,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,SF,19,GSW,35,4,11.8,2.2,4.7,0.5,1.5,1.8,3.2,1.4,2.1,0.5,1.8,2.3,0.5,0.4,0.2,0.7,1.5,6.3
Kyle Kuzma,PF,26,WAS,44,44,33.1,5.9,13.0,1.8,5.4,4.1,7.6,2.1,3.0,1.1,7.7,8.8,2.9,0.6,0.8,2.2,2.0,15.6
Anthony Lamb,SF,24,SAS,2,0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
Jeremy Lamb,SF,29,IND,32,0,15.3,2.2,6.0,1.0,3.1,1.2,2.9,1.8,2.1,0.4,2.1,2.5,1.3,0.5,0.4,0.6,1.3,7.3
Jock Landale,C,26,SAS,29,1,10.3,1.8,3.5,0.6,1.5,1.2,2.0,0.7,0.8,1.2,1.1,2.3,1.0,0.2,0.4,0.7,0.9,4.8
Romeo Langford,SG,22,BOS,37,5,17.8,1.9,4.4,0.7,2.0,1.2,2.4,0.5,0.8,0.8,1.9,2.7,0.5,0.6,0.4,0.4,1.1,5.0
Zach LaVine,SF,26,CHI,38,38,34.0,9.0,18.4,2.9,7.2,6.1,11.2,3.9,4.5,0.3,4.4,4.8,4.2,0.6,0.3,2.8,1.6,24.9
Jake Layman,SF,27,MIN,20,1,8.0,0.9,2.3,0.2,1.2,0.7,1.1,0.3,0.4,0.2,1.0,1.2,0.3,0.3,0.2,0.4,0.4,2.2
Damion Lee,SG,29,GSW,36,2,20.4,3.0,6.6,1.2,3.2,1.8,3.4,1.0,1.2,0.4,2.7,3.1,0.9,0.6,0.1,0.7,1.6,8.2
Saben Lee,PG,22,DET,26,0,15.4,1.8,4.7,0.5,1.7,1.3,3.0,1.3,1.7,0.4,2.2,2.5,2.4,1.0,0.4,1.0,0.9,5.3
Alex Len,C,28,SAC,30,9,17.4,2.6,5.0,0.2,0.6,2.4,4.4,1.1,1.7,1.6,3.2,4.8,1.2,0.3,0.8,1.3,2.9,6.6
Caris LeVert,SG,27,IND,32,32,30.6,7.0,15.7,1.6,5.0,5.4,10.7,2.8,3.4,0.7,2.9,3.6,4.1,1.0,0.5,1.8,2.3,18.4
Kira Lewis Jr.,PG,20,NOP,24,0,14.2,2.5,6.1,0.5,2.4,1.9,3.7,0.4,0.5,0.4,1.3,1.6,2.0,0.5,0.0,1.1,0.7,5.9
Scottie Lewis,SG,21,CHO,2,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
Damian Lillard,PG,31,POR,29,29,36.4,7.7,19.0,3.2,9.8,4.5,9.2,5.5,6.2,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0
Nassir Little,SF,21,POR,41,22,25.8,3.4,7.4,1.1,3.6,2.2,3.8,1.6,2.2,1.3,4.2,5.6,1.3,0.6,0.9,1.0,2.0,9.5
Isaiah Livers,SF,23,DET,1,0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Kevon Looney,C,25,GSW,47,47,20.7,2.6,4.7,0.0,0.0,2.6,4.6,1.0,1.6,2.7,4.6,7.2,1.6,0.6,0.8,0.9,2.6,6.2
Brook Lopez,C,33,MIL,1,1,28.0,3.0,9.0,2.0,4.0,1.0,5.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,3.0,0.0,3.0,8.0
Robin Lopez,C,33,ORL,22,9,18.6,3.8,6.5,0.0,0.2,3.8,6.4,0.9,1.5,2.3,1.5,3.8,1.9,0.0,0.5,1.3,2.0,8.5
Didi Louzada,SF,22,NOP,2,0,3.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
Kevin Love,PF,33,CLE,39,2,21.4,4.3,9.8,2.4,6.0,1.9,3.8,2.9,3.3,1.1,6.0,7.1,2.1,0.3,0.2,1.2,0.9,13.8
Kyle Lowry,PG,35,MIA,39,39,34.2,4.5,10.8,2.1,6.4,2.4,4.5,2.4,2.8,0.6,3.8,4.5,8.3,1.0,0.4,3.1,2.8,13.4
Timothé Luwawu-Cabarrot,SF,26,ATL,31,12,13.9,1.5,3.8,0.9,2.6,0.5,1.2,0.5,0.6,0.3,1.2,1.5,0.8,0.4,0.1,0.4,1.5,4.5
Trey Lyles,PF,26,DET,43,3,19.4,3.3,7.4,0.8,2.9,2.5,4.5,2.6,3.3,1.3,3.6,4.8,1.2,0.4,0.5,1.0,1.7,10.0
Théo Maledon,PG,20,OKC,21,0,13.6,1.0,3.7,0.4,2.1,0.7,1.6,1.2,1.4,0.4,1.4,1.8,1.0,0.5,0.1,0.9,1.0,3.7
Sandro Mamukelashvili,PF,22,MIL,24,2,11.4,1.3,3.1,0.5,1.5,0.8,1.7,0.4,0.5,1.1,1.1,2.2,0.5,0.3,0.3,0.4,0.7,3.6
Terance Mann,SF,25,LAC,47,15,29.3,3.9,8.2,1.0,2.8,2.9,5.4,1.4,1.8,1.4,3.9,5.3,2.3,0.6,0.1,1.1,2.2,10.2
Tre Mann,PG,20,OKC,33,2,17.2,2.7,6.8,1.1,2.9,1.6,3.8,0.6,0.9,0.4,1.8,2.2,0.8,0.5,0.2,0.7,1.7,7.1
Boban Marjanović,C,33,DAL,16,0,5.9,2.2,3.5,0.1,0.2,2.1,3.3,0.5,1.0,0.4,1.4,1.9,0.1,0.0,0.1,0.7,1.2,4.9
Lauri Markkanen,PF,24,CLE,38,38,30.2,4.9,11.3,2.0,5.9,2.9,5.4,1.7,1.9,1.1,4.2,5.3,1.5,0.8,0.6,0.8,1.8,13.6
Naji Marshall,SF,24,NOP,23,0,9.6,1.0,3.0,0.2,1.2,0.8,1.8,1.1,1.3,0.6,1.8,2.4,0.9,0.4,0.1,0.9,1.0,3.3
Caleb Martin,SF,26,MIA,37,9,23.1,3.8,7.2,1.1,2.8,2.7,4.5,1.2,1.6,1.2,2.7,3.9,0.9,1.1,0.5,0.8,1.8,9.7
Cody Martin,SF,26,CHO,42,7,27.0,3.0,6.4,1.0,2.3,2.0,4.1,1.2,1.7,1.2,3.0,4.2,2.7,1.4,0.5,0.9,1.6,8.2
Kelan Martin,SF,26,IND,27,1,16.4,2.6,6.2,0.8,2.7,1.8,3.5,0.3,0.5,0.6,1.4,2.0,0.8,0.5,0.3,0.5,1.3,6.3
Kenyon Martin Jr.,SF,21,HOU,44,0,19.1,3.2,6.2,0.6,1.8,2.6,4.4,1.0,1.6,1.0,2.8,3.8,1.4,0.4,0.5,0.7,1.3,8.0
Garrison Mathews,SG,25,HOU,30,16,27.6,3.3,7.9,2.5,6.6,0.8,1.3,2.4,2.9,0.5,3.1,3.6,0.9,0.7,0.4,0.6,3.0,11.5
Dakota Mathias,SG,26,MEM,6,0,2.7,0.3,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.2,1.0
Wesley Matthews,SG,35,MIL,21,6,20.6,2.3,5.1,1.4,3.6,0.9,1.5,0.2,0.4,0.6,1.5,2.1,0.8,0.5,0.2,0.4,1.8,6.3
Tyrese Maxey,PG,21,PHI,39,38,35.3,6.3,13.4,1.4,3.5,4.8,9.9,2.8,3.2,0.4,3.1,3.4,4.5,0.7,0.5,1.2,2.1,16.7
Skylar Mays,SG,24,ATL,18,5,10.3,1.7,3.3,0.4,1.4,1.3,1.9,0.4,0.4,0.3,1.1,1.3,0.8,0.4,0.0,0.3,0.3,4.3
